marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,650634,R3EQSTM9PWRAL,B0091LBZSU,578484426,Demograss Capsules Diet Pills Lose Weight,Health & Personal Care,3,0,0,N,Y,Three Stars,Only came with 30 pills I wish it would've came with at least 50,2015-08-31
US,19827510,RBWPRK17XKIXD,B00PWW3LQ6,456433146,"Viva Labs #1 Premium Himalayan Organic Goji Berries, Noticeably Larger and Juicier",Health & Personal Care,5,0,0,N,Y,A good portable snack,Really yummy and healthy.  A good portable snack.,2015-08-31
US,1520474,RRSLOAF273XFC,B00DKEWA92,460764511,Whip-it Cleaner,Health & Personal Care,5,1,2,N,Y,You need this,You cannot go wrong with this stuff. I use it in my laundry & my carpet steamer and also just for general cleaning in my kitchen and bathroom. I have 3 dogs and this keeps my creme colored carpets looking new. Also works great as a deodorizer in my air washer. Buy it!,2015-08-31
US,23905905,R3S8W9Q6SWIT8O,B0015R3A7M,135102038,"Optimum Nutrition Opti-Men Daily Multivitamin Supplement, 90 Count",Health & Personal Care,4,0,0,N,Y,this is a good vitamin for men,This is a good daily vitamin for men.,2015-08-31
US,28215779,R3QQ6NSLRVBFJC,B006B8U8BG,200666829,"Wet-Stop3 Bedwetting Enuresis Alarm with Loud Sound and Strong Vibration for Boys or Girls, Proven Solutions for Bedwetters",Health & Personal Care,4,0,0,N,Y,progress is definitely happening!!!!,We have been using this for almost a month and so far it's worked out really well! My son is actually waking up when the alarm sounds and changes his bottoms if he needs to or finishes in the bathroom! Before the alarm he wouldn't wake up for any type of noise!!! He has more gold stars on his board than silver and it has boosted his confidence! We are happy!<br />The only thing it does and we don't know why is that it will randomly sound even if he's dry.. Not sure if that's supposed to happen or not but its not too often so we just ignore it and shut it off!,2015-08-31
US,23260912,R2XYDBMHUVJCSX,B00PFZFD8Y,344168617,NatraCure Plantar Fasciitis Wrap (One Wrap) - 1291-S CAT Arch Support (Small/Medium),Health & Personal Care,2,0,1,N,Y,Two Stars,I wear it a few times only but the fabric cover the jelly pad already broken.,2015-08-31
US,7965616,R1L94ESVC657A9,B0034792JG,291831570,Glade Sense & Spray Refills (Pack of 10),Health & Personal Care,5,0,0,N,Y,Five Stars,Love this product and the ability to buy a case is just makes it better,2015-08-31
US,3443178,R3DI4B8LDWFQ3K,B000052XIA,493678550,Vagisil Anti-Itch Creme,Health & Personal Care,1,3,4,N,Y,It still is itching like always. maybe a little less but it didn't ...,It still is itching like always. maybe a little less but it didn't fix any long term problem. Just sooth a little bit.,2015-08-31
US,20838781,R1G7VV4HCXUQQL,B004GCUK8A,3902598,"Glade Automatic Spray Air Freshener Starter Kit, Hawaiian Breeze (6.2 oz)",Health & Personal Care,5,0,0,N,Y,Five Stars,Good!,2015-08-31
US,15267517,R3TTNYN1TAMUSU,B00K7W1QAO,633971374,"Kirkland Signature Outdoor Bags, 1.2 Mil - 45 gal - 100 ct",Health & Personal Care,5,0,0,N,Y,Will buy again,These bags are magic.  I use them to line my cat boxes.  They're very tough and hold up well.,2015-08-31
US,30105089,R3AMX2D9HMWV6Z,B0034KYA36,854858899,"Zyrtec Prescription-Strength Allergy Medicine Tablets With Cetirizine, 70 Count, 10 mg",Health & Personal Care,5,0,0,N,Y,Good price!,Delivered product was as expected.,2015-08-31
